file,url,http_status,bytes,title,keyword_hits
nextmark.html,https://www.nextmark.com,200,124084,"NextMark - Tools for Media Planning, Media Sales, and Ad Operations",media planning; advertise; email; audience
meritdirect.html,https://www.meritdirect.com,200,195570,Anteriad | Full-Funnel B2B Marketing Solutions to Drive Demand,partner; audience
paved.html,https://www.paved.com,200,296148,The World’s Largest Newsletter Ad Network | Paved,newsletter ad; advertise; sponsorship; publisher; partner; email; audience; advertiser
swapstack.html,https://swapstack.co,200,62044,Harness the growth power of creator audiences | Welcome to Swapstack,advertise; sponsorship; creator; publisher; affiliate; partner; email; audience
passionfroot.html,https://passionfroot.me,200,300000,Passionfroot - The AI Agent for Creator-led GTM,creator; partner; tracking; audience
impact.html,https://impact.com,200,144071,impact.com - The All-in-One Partnership Management Platform,advertise; creator; publisher; affiliate; partner; email; tracking; audience
partnerstack.html,https://partnerstack.com,200,239408,Partner Ecosystem Platform | Rated #1 | PartnerStack,creator; publisher; affiliate; partner; email; tracking; audience; commission
everflow.html,https://www.everflow.io,200,134088,Everflow - Partner Marketing Platform For Revenue Growth,advertise; publisher; affiliate; partner; email; tracking; audience; advertiser
awin.html,https://www.awin.com,200,277523,Join our global affiliate platform | Awin,advertise; creator; publisher; affiliate; partner; email; tracking; advertiser
cj.html,https://www.cj.com,200,184974,CJ.com Home,advertise; creator; publisher; affiliate; partner; email; tracking; audience
udimi.html,https://www.udimi.com,200,118484,Buy solo ads from the best solo ad vendors - Udimi,advertise; affiliate; email; solo ads; tracking; audience; advertiser; commission
